Date,Open,High,Low,Close,Adj Close,Volume,OilPrice,deaths,DPRIME,TOTALSA,GoogleTrend,new_cases,new_deaths
2020/3/26,109.477997,112,102.449997,105.632004,105.632004,86903500,24.5,0,3.25,0.3916,69,13963,249
2020/3/27,101,105.160004,98.806,102.872002,102.872002,71887000,25.62,0,3.25,0.3916,67,16797,246
2020/3/30,102.052002,103.330002,98.246002,100.426003,100.426003,59990500,23.55,0,3.25,0.3916,55,18360,318
2020/3/31,100.25,108.592003,99.400002,104.800003,104.800003,88857500,22.39,0,3.25,0.3916,55,21595,661
2020/4/1,100.800003,102.790001,95.019997,96.311996,96.311996,66766000,19.19,1,3.25,0.301966667,57,24998,909
2020/4/2,96.206001,98.851997,89.279999,90.893997,90.893997,99292000,14.85,0,3.25,0.301966667,64,27103,1059
2020/4/3,101.900002,103.098,93.678001,96.001999,96.001999,22562100,14.97,1,3.25,0.301966667,62,28819,915
2020/4/6,102.239998,104.199997,99.592003,103.248001,103.248001,14901800,20.24,0,3.25,0.301966667,53,25398,1146
2020/4/7,109,113,106.468002,109.089996,109.089996,17919800,24.33,0,3.25,0.301966667,54,30561,1342
2020/4/8,110.839996,111.442001,106.666,109.767998,109.767998,12656000,22.58,0,3.25,0.301966667,56,30613,1906
2020/4/9,112.417999,115.036003,111.421997,114.599998,114.599998,13650000,22.1,0,3.25,0.301966667,53,33323,1922
2020/4/13,118.031998,130.399994,116.106003,130.190002,130.190002,22475400,25.22,0,3.25,0.301966667,59,27620,1500
2020/4/14,139.794006,148.376007,138.485992,141.977997,141.977997,30576500,20.23,0,3.25,0.301966667,64,25023,1541
2020/4/15,148.399994,150.626007,142,145.966003,145.966003,23577000,21.74,0,3.25,0.301966667,65,26922,2408
2020/4/16,143.388,151.889999,141.343994,149.042007,149.042007,20657900,19.8,0,3.25,0.301966667,62,30148,4928
2020/4/17,154.455994,154.990005,149.531998,150.778,150.778,13128200,18.69,0,3.25,0.301966667,62,31667,2299
2020/4/20,146.539993,153.113998,142.442001,149.272003,149.272003,14746600,19.75,0,3.25,0.301966667,55,24601,1772
2020/4/21,146.024002,150.666,134.757996,137.343994,137.343994,20209100,17.36,0,3.25,0.301966667,58,28065,1857
2020/4/22,140.796005,146.800003,137.742004,146.421997,146.421997,14224800,9.12,0,3.25,0.301966667,55,37289,2524
2020/4/23,145.520004,146.800003,140.626007,141.126007,141.126007,13236700,13.77,0,3.25,0.301966667,52,17588,1721
2020/4/24,142.162003,146.145996,139.636002,145.029999,145.029999,13237600,15.06,1,3.25,0.301966667,49,26543,3179
2020/4/27,147.522003,159.897995,147,159.75,159.75,20681400,15.87,0,3.25,0.301966667,57,26857,1687
2020/4/28,159.128006,161,151.337997,153.824005,153.824005,15222000,15.17,0,3.25,0.301966667,60,22541,1369
2020/4/29,158.033997,160.639999,156.632004,160.102005,160.102005,16216000,15.6,0,3.25,0.301966667,85,24132,2110
2020/4/30,171.037994,173.964005,152.699997,156.376007,156.376007,28471900,17.86,0,3.25,0.301966667,83,27326,2611
2020/5/1,151,154.554001,136.608002,140.264008,140.264008,32531800,18.11,0,3.25,0.413566667,90,29917,2040
